Co./Last Name,First Name,Purchase No.,Date,Supplier Invoice No.,Inclusive,Delivery Status,Journal Memo,Detail Date,Description,Account No.,Amount,Job,Comment,Promised Date,Tax Code,Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154215,1/2/2023,93604,,P,Imported Premier Technology Solutions,,"N- Central Professional. Premier Care It Management, User Support, Managed Email Protection, Managed Web Security",61150,"$2,166.48 ",,,,GST,$216.65 ,B,2,0,6,0,"$2,383.13 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154216,19/01/2023,1005517,,P,Imported Monash Self Storage Centre,,Rental Fee Unit 031 from 26/01/23 to 25/02/23,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,20,0,$185 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,154217,8/2/2023,INV00592223,,P,Imported HR Consulting Melbourne,,Retained Consulting Services,61035,$450 ,,,,GST,$45 ,B,2,0,0,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154218,31/01/2023,93753,,P,Imported Premier Technology Solutions,,"Microsoft 365 business premium, Azure Plan, Exchange online ( plan !&@), Project plan 3, Office 365 Extra storage, Power BI per use, Project plan 1 & 3",61150,"$1,975.74 ",,,,GST,$197.57 ,B,2,0,8,0,"$2,173.31 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154219,31/01/2023,93844,,P,Imported Premier Technology Solutions,,"Datto SaaS Protection - Unlimited, Interactive HP ARUBA Hardware Maintenance",61150,$239.93 ,,,,GST,$23.99 ,B,2,0,8,0,$263.92 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154221,19/10/2022,1004004,,P,Imported Monash Self Storage Centre,,Rental Fee Unit 034 26/10/22 to 25/11/22,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,112,0,$185 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154222,19/09/2022,1003501,,P,Imported Monash Self Storage Centre,,Rental fee Unit 034 ( 2 days ) Credit unit 502,61250,($22.31),,,,GST,($2.24),B,2,0,142,0,($24.55),,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154223,27/08/2022,1003527,,P,Imported Monash Self Storage Centre,,Rental Fee Unit 034 26/08/22 to 25/09/22,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,165,0,$185 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154224,19/09/2022,1003734,,P,Imported Monash Self Storage Centre,,Rental Fee Unit 034 26/09/22 to 25/10/22,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,142,0,$185 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Boronia Marine Co Pty Ltd,,154225,7/2/2023,23013003IFR,,P,Imported Boronia Marine Co Pty Ltd,,Providing workboart and coxswain for White Bay wharf inspection,54300,"$5,597.50 ",,,,GST,$559.75 ,B,2,0,2,0,"$6,157.25 ",,1880,2324
,,,,,,,,,,,,,,,,,,,,,,,,,
Ports Australia,,154226,10/2/2023,6891,,A,Imported Ports Australia,,Wharf Structures Assessment Manual,51050,"$1,000 ",,,,GST,$100 ,B,2,0,0,0,"$1,100 ",,5553,2692
,,,,,,,,,,,,,,,,,,,,,,,,,
Hoverscape Pty Ltd,,154228,21/01/2023,INV-0653,,P,Imported Hoverscape Pty Ltd,,Data Capture -3D modelling service,54300,"$2,890 ",,,,GST,$289 ,B,2,0,20,0,"$3,179 ",,2387,2667
,,,,,,,,,,,,,,,,,,,,,,,,,
Hoverscape Pty Ltd,,154229,5/2/2023,INV-0654,,P,Imported Hoverscape Pty Ltd,,"Data Capture - 3D modelling service, permit, admin",54300,"$3,930 ",,,,GST,$393 ,B,2,0,10,0,"$4,323 ",,2387,2667
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,154230,7/2/2023,15761251,,P,"Imported Momentum Energy, ",,Electricity Jan 23,66060,"$1,106.13 ",,,,GST,$111.85 ,B,2,0,10,0,"$1,217.98 ",,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,154231,10/2/2023,T311 Feb 23,,P,Imported Telstra Corp,,Telephone Feb 23,61300,"$1,482.45 ",,,,GST,$138.82 ,B,2,0,7,0,"$1,621.27 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
JT WORX PTY LTD,,154232,16/02/2023,704,,P,Imported JT Worx Pty Ltd,,Provision of rope access technicians to assist in leak detection works at Helio Apartments,54300,"$2,000 ",,,,GST,$200 ,B,2,0,1,0,"$2,200 ",,2045,2397
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154233,20/02/2023,1006174,,P,Imported Monash Self Storage Centre,,Rental fee unit 034 from 26/02/23 to 25/03/23,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,0,0,$185 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,154234,20/02/2023,11302687,,P,Imported Toshiba Australia Pty Limited,,Colour Meterage Feb 23,61215,$67.33 ,,,,GST,$6.73 ,B,2,0,1,0,$74.06 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,154235,21/02/2023,INV-21937,,P,Imported Jims Mowing,,"Lawn mowing, gardening, weeding, weed spraying and blow of carpark",61250,$90 ,,,,GST,$9 ,B,2,0,1,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,154236,28/02/2023,526403,,P,Imported Suk Kyun Shin,,Office cleaning Feb 23,61215,$680 ,,,,GST,$68 ,B,2,0,1,0,$748 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,
Appliance Tagging Services Pty Ltd,,154237,24/02/2023,T23-294505,,P,Imported Appliance Tagging Services Pty Ltd,,"Appliance Test, Parking, attendance fee",51050,$415.83 ,,,,GST,$41.58 ,B,2,0,3,0,$457.41 ,,1971,2356
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,154238,1/3/2023,3258,,P,Imported Hightalk Pty Ltd,,"1300 number, Number, SIP line unlimited with support, Wireless Broadband data",61300,$362.73 ,,,,GST,$36.27 ,B,2,0,1,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,154239,2/2/2023,605811446,,P,Imported Officeworks,,Stationery,61215,$104.77 ,,,,GST,$10.48 ,B,2,0,28,0,$115.25 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,154240,1/3/2023,606329255,,P,Imported Officeworks,,Stationery,61215,$88.71 ,,,,GST,$8.87 ,B,2,0,1,0,$97.58 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,154241,2/3/2023,360615578,,P,Imported AGL,,GAS 31/12/22 - 28/02/23,66030,$62.81 ,,,,GST,$6.28 ,B,2,0,0,0,$69.09 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,
Insite Engineering Pty Ltd ,,154242,23/02/2023,INV-0247,,P,Imported Insite Engineering Pty Ltd ,,CFC Cladding Inspection & Reporting,54400,"$6,000 ",,,,GST,$600 ,B,2,0,8,0,"$6,600 ",,2528,2699
,,,,,,,,,,,,,,,,,,,,,,,,,
COGL Sydney 11 Pty Ltd T/A Compass Offices,,154243,2/3/2023,AU07-000022,,P,Imported COGL Sydney 11 Pty Ltd T/A Compass Offices,,Office rent April 23,66010,"$8,725.56 ",,,,GST,$872.56 ,B,2,0,1,0,"$9,598.12 ",,2336,2575
,,,,,,,,,,,,,,,,,,,,,,,,,
The Trustee for FLARN FAMILY TRUST t/a INSINK Pty ,,154244,3/3/2023,INV-09655,,P,Imported The Trustee for FLARN FAMILY TRUST t/a INSINK Pty ,,Attended site and repaired garden tap after it was removed in the theft of the key safe.,61250,$233.40 ,,,,GST,$23.34 ,B,2,0,4,0,$256.74 ,,2530,2701
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,154245,28/02/2023,145229872,,P,Imported Visy Recycling,,Service fee 01/02/23 - 28/02/23,61215,$30.08 ,,,,GST,$3.01 ,B,2,0,7,0,$33.09 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,154246,6/3/2023,15901790,,P,"Imported Momentum Energy, ",,Electricity Feb23,66060,"$1,063.74 ",,,,GST,$107.14 ,B,2,0,1,0,"$1,170.88 ",,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154247,28/02/2023,94284,,P,Imported Premier Technology Solutions,,"Datto SaaS Protection, Interactive HP Aruba - Hardware Maintenance Feb 23",61150,$239.93 ,,,,GST,$23.99 ,B,2,0,7,0,$263.92 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154248,28/02/2023,94205,,P,Imported Premier Technology Solutions,,"Macrosoft 365 Business Preminum, Azere Plan, Exchange onLine Plan 1 &2, Project plan 3, Office 365 Extra stirage etc Feb 23",61150,"$2,039.54 ",,,,GST,$203.95 ,B,2,0,7,0,"$2,243.49 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
StaySafe (SA) Pty Ltd  Securitas,,154249,28/02/2023,PSI23-06782,,P,Imported StaySafe (SA) Pty Ltd  Securitas,,Patrol expenses,66080,$80 ,,,,GST,$8 ,B,2,0,7,0,$88 ,,2393,832
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154250,1/3/2023,94147,,P,Imported Premier Technology Solutions,,HP Thunderbolt 280W G4 Dock E/combo cable,61150,$404.52 ,,,,GST,$40.45 ,B,2,0,6,0,$444.97 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154251,1/3/2023,93978,,P,Imported Premier Technology Solutions,,"N-Central Profissional, Premier Care Mar 23",61150,"$2,166.48 ",,,,GST,$216.65 ,B,2,0,6,0,"$2,383.13 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154252,28/02/2023,94137,,P,Imported Premier Technology Solutions,,"TARGUS DOCK310AUZ USB-C Dual Video 4K Docking Station with Power. 3year WTY, HP Thunderbolt Dock 280W G4 Dock w/combo cable",61150,"$1,352.68 ",,,,GST,$135.27 ,B,2,0,7,0,"$1,487.95 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
National Concrete Scanning and Coring Pty Ltd,,154253,8/3/2023,20985,,P,Imported National Concrete Scanning and Coring Pty Ltd,,Attend site and scanning of 4 x location for excavation,54300,$600 ,,,,GST,$60 ,B,2,0,0,0,$660 ,,2250,2520
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,154256,28/02/2023,INV-0069222,,P,Imported HR Consulting Melbourne,,Retained consulting service,61035,$450 ,,,,GST,$45 ,B,2,0,9,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
"MAJOINEN, CHRISTINA HELEN t/a Project TGL",,154257,30/01/2023,10402,,P,"Imported MAJOINEN, CHRISTINA HELEN t/a Project TGL",,Tweak Your Week group enrolment,61310,"$1,600 ",,,,FRE,$0.00 ,B,2,0,38,0,"$1,600 ",,2533,2703
,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOWTY FAMILY TRUST t/a PNF Travel Towers ,,154258,9/3/2023,12280,,P,Imported PNF Travel Towers Pty Ltd,,45m travel tower hire,54300,"$8,460 ",,,,GST,$846 ,B,2,0,5,0,"$9,306 ",,1657,2167
,,,,,,,,,,,,,,,,,,,,,,,,,
Trendspek Operations Pty Limited,,154259,28/02/2023,INV-0279,,P,Imported Trendspek Operations Pty Limited,,"Trendspek Software Plan, 100gigapixel pack, Data capture, Admin, travel expenses",54300,"$18,510 ",,,,GST,"$1,851 ",B,2,0,15,0,"$20,361 ",,2246,2518
,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Management Council Limited,,154260,15/03/2023,316,,P,Imported Asset Management Council Limited,,Exhibisrion Booth,59120,"$3,500 ",,,,GST,$350 ,B,2,0,0,0,"$3,850 ",,2537,2705
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,154261,15/03/2023,18071,,P,Imported Sharp and Howells Pty Ltd,,Samples - 6 concrete dusts,54400,$810 ,,,,GST,$81 ,B,2,0,0,0,$891 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,154262,15/03/2023,INV-22228,,P,Imported Jims Mowing,,"lawn mowing, gardening, weeding, spraying and blowing of carpark",61250,$90 ,,,,GST,$9 ,B,2,0,1,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Bulleen Cricket Club Inc,,154263,16/03/2023,,,P,Imported Bulleen Cricket Club Inc,,Sponsorship for season 2022/23,59110,"$1,500 ",,,,FRE,$0.00 ,B,2,0,0,0,"$1,500 ",,1853,2310
,,,,,,,,,,,,,,,,,,,,,,,,,
Veritas Engineering Pty Ltd,,154264,16/03/2023,122946,,P,Imported Veritas Engineering Pty Ltd,,MSIC card for PG,54810,$460 ,,,,GST,$46 ,B,2,0,0,0,$506 ,,2320,2566
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,154265,20/03/2023,18111,,P,Imported Sharp and Howells Pty Ltd,,"Compressive Strength testing, Urgent Tumaround Surcharge, batch fee",54400,$255 ,,,,GST,$25.50 ,B,2,0,0,0,$280.50 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
StaySafe (SA) Pty Ltd  Securitas,,154266,16/03/2023,PSI23-10952,,P,Imported StaySafe (SA) Pty Ltd  Securitas,,Security monitoring 01/04/23 -30/06/23,66080,$158.62 ,,,,GST,$15.86 ,B,2,0,4,0,$174.48 ,,2393,832
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154267,13/03/2023,1006686,,P,Imported Monash Self Storage Centre,,Rental fee unit 034 26/03/23 - 25/04/23,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,7,0,$190 ,,2292,2542
Monash Self Storage Centre,,154267,13/03/2023,1006686,,P,Imported Monash Self Storage Centre,13/03/2023,Late fee penalty,61110,$5 ,,,,N-T,$0.00 ,B,2,0,7,0,$190 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,154268,20/03/2023,11340975,,P,Imported Toshiba Australia Pty Limited,,Colour Meterage,61215,$63.90 ,,,,GST,$6.39 ,B,2,0,1,0,$70.29 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,154269,10/3/2023,T311 Mar 23,,P,Imported Telstra Corp,,Telephone Mar 23,61300,"$1,467.86 ",,,,GST,$141.36 ,B,2,0,11,0,"$1,609.22 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,154270,23/03/2023,606715798,,P,Imported Officeworks,,Stationery,61215,$73.11 ,,,,GST,$7.31 ,B,2,0,1,0,$80.42 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
ACA (The Australasian Corrosion Association),,154271,27/03/2023,I-00002051,,P,Imported ACA (The Australasian Corrosion Association),,ACA/ACRA training course Concrete Structures for Paolo Alegro & Buildings,61310,"$1,570 ",,,,GST,$157 ,B,2,0,0,0,"$1,727 ",,5005,431
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,154275,20/03/2023,18124,,P,Imported Sharp and Howells Pty Ltd,,Samples 9 of concrete dusts,54400,"$1,200 ",,,,GST,$120 ,B,2,0,11,0,"$1,320 ",,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,154277,31/03/2023,526415,,P,Imported Suk Kyun Shin,,Office cleaning March 23,61215,$680 ,,,,GST,$68 ,B,2,0,3,0,$748 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,154278,1/4/2023,3309,,P,Imported Hightalk Pty Ltd,,"1300 number, Number, SIP line unlimited with support, Wireless Broadband data",61300,$362.73 ,,,,GST,$36.27 ,B,2,0,2,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
Savcor Products Australia Pty Ltd,,154279,29/03/2023,IN34198,,P,Imported Savcor Products Australia Pty Ltd,,"Cortec Emitter Foam, Cortec Emitter Cups",51000,$945 ,,,,GST,$94.50 ,B,2,0,5,0,"$1,039.50 ",,5523,1949
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154280,1/4/2023,94405,,P,Imported Premier Technology Solutions,,"April 23 N-Central Professional, Premier Care IT Management, user support. Premier managed email protection, web security",61150,"$2,166.48 ",,,,GST,$216.65 ,B,2,0,2,0,"$2,383.13 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154281,31/03/2023,94699,,P,Imported Premier Technology Solutions,,"March 23 billing for Microsoft 365 Business Premium, Office 365 Extra File Storage etc",61150,"$1,973.57 ",,,,GST,$197.36 ,B,2,0,4,0,"$2,170.93 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
COGL Sydney 11 Pty Ltd T/A Compass Offices,,154282,4/4/2023,AU07-000023,,P,Imported COGL Sydney 11 Pty Ltd T/A Compass Offices,,Office Rent ,66010,"$8,731.80 ",,,,GST,$873.18 ,B,2,0,1,0,"$9,604.98 ",,2336,2575
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,154283,4/4/2023,INV-22497,,P,Imported Jims Mowing,,"Lawn mowing, gardening. weeding , weed spraying and blow of carparks ",61250,$90 ,,,,GST,$9 ,B,2,0,1,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,154284,6/4/2023,145483896,,P,Imported Visy Recycling,,Recycle Bin Collection 01/03/2023 - 31/03/2023,61215,$69.08 ,,,,GST,$6.91 ,B,2,0,0,0,$75.99 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
Specialist Height Access Pty Ltd,,154285,29/03/2023,11990,,P,Imported Specialist Height Access Pty Ltd,,Working aaaaaa2Heights/Rope Access Technician 8 hours,54300,"$2,240 ",,,,GST,$224 ,B,2,0,13,0,"$2,464 ",,2532,2702
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,154286,31/03/2023,INV-0070222,,P,Imported HR Consulting Melbourne,,Retained Consulting Service ,61035,$450 ,,,,GST,$45 ,B,2,0,11,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154287,31/03/2023,94747,,P,Imported Premier Technology Solutions,,"March billing Datto SaaS Protection, Interactive HP ARUBA",61150,$239.93 ,,,,GST,$23.99 ,B,2,0,11,0,$263.92 ,,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,154288,6/4/2023,16083860,,P,"Imported Momentum Energy, ",,March 23 Electricity,66060,"$1,230.06 ",,,,GST,$123.55 ,B,2,0,5,0,"$1,353.61 ",,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Group Pty Ltd,,154289,3/3/2023,3502,,P,Imported Cosentino Group Pty Ltd,,"Archtectual Design and Documentation Works for building permit, Building permit fee including levy, Assess consultant report and performance solutions, Additional fee for performance solution regarding accessible sanitary facility, Fire engineering report",12710,"$21,190 ",,,,GST,"$2,119 ",B,2,0,39,0,"$23,309 ",,2279,2534
,,,,,,,,,,,,,,,,,,,,,,,,,
Trendspek Operations Pty Limited,,154290,6/4/2023,INV-0287,,P,Imported Trendspek Operations Pty Limited,,Annual Growth Plan renewal date 28/02/23,61150,"$8,390 ",,,,GST,$839 ,B,2,0,5,0,"$9,229 ",,2246,2518
,,,,,,,,,,,,,,,,,,,,,,,,,
Specialist Height Access Pty Ltd,,154291,12/4/2023,12008,,P,Imported Specialist Height Access Pty Ltd,,Working at heights / Rope access Technician 8 hours,54300,"$6,720 ",,,,GST,$672 ,B,2,0,0,0,"$7,392 ",,2532,2702
,,,,,,,,,,,,,,,,,,,,,,,,,
AMOG,,154292,31/03/2023,032023ICMIS,,P,Imported AMOG,,APMS 01/01/23 -31/03/23,61150,"$1,500 ",,,,GST,$150 ,B,2,0,12,0,"$1,650 ",,5017,482
,,,,,,,,,,,,,,,,,,,,,,,,,
Racket Agency Pty Ltd,,154293,31/03/2023,INV-1361,,P,Imported Racket Agency Pty Ltd,,AWC video editing batch 2-12 videos,59130,"$4,200 ",,,,GST,$420 ,B,2,0,17,0,"$4,620 ",,5548,2099
,,,,,,,,,,,,,,,,,,,,,,,,,
Moray and Agnew Lawyers,,154294,29/03/2023,694728,,P,Imported Moray and Agnew Lawyers,,"Review contract and proposal, consider risk issues etc",54900,"$1,336.50 ",,,,GST,$133.65 ,B,2,0,19,0,"$1,470.15 ",,2558,2719
,,,,,,,,,,,,,,,,,,,,,,,,,
Yarra Valley Water,,154295,13/04/2023,5915 6833 7,,P,Imported Yarra Valley Water,,Water bill 10/01/23 to 12/04/23,66090,$411.90 ,,,,FRE,$0.00 ,B,2,0,7,0,$411.90 ,,5463,1394
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,154296,11/4/2023,T311 Apr 23,,P,Imported Telstra Corp,,Telephone Apr 23,61300,"$1,536.94 ",,,,GST,$136.27 ,B,2,0,9,0,"$1,673.21 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,154298,20/04/2023,11378994,,P,Imported Toshiba Australia Pty Limited,,Colour Meterage April 23,61215,$54.83 ,,,,GST,$5.48 ,B,2,0,6,0,$60.31 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,154299,26/04/2023,INV-22768,,P,Imported Jims Mowing,,"lawn mowing, gardening, weeding, weed spraying and blowing of carparks",61250,$90 ,,,,GST,$9 ,B,2,0,1,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,154301,27/04/2023,607221154,,P,Imported Officeworks,,"Batteries, 4 colour pens",61215,$62.62 ,,,,GST,$6.26 ,B,2,0,1,0,$68.88 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Monash Self Storage Centre,,154302,19/04/2023,1007134,,P,Imported Monash Self Storage Centre,,Rental Fee Unit 034 26/04/23 -25/05/23,61250,$168.19 ,,,,GST,$16.81 ,B,2,0,9,0,$185 ,,2292,2542
,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Divers Pty Ltd,,154305,30/04/2023,INV-0990,,P,Imported Southern Divers Pty Ltd,,Vessel and coxswain for marine support at Yarra Edge,54300,"$1,240 ",,,,GST,$124 ,B,2,0,2,0,"$1,364 ",,1649,2164
,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOWTY FAMILY TRUST t/a PNF Travel Towers ,,154306,28/04/2023,12338,,P,Imported PNF Travel Towers Pty Ltd,,45m Travel Tower Hire,54300,"$6,000 ",,,,GST,$600 ,B,2,0,4,0,"$6,600 ",,1657,2167
,,,,,,,,,,,,,,,,,,,,,,,,,
Optimatum Pty Ltd T/A Miglic Macleod,,154307,28/04/2023,INV-3021,,P,Imported Optimatum Pty Ltd T/A Miglic Macleod,,Structural design and Documentation,54400,"$6,300 ",,,,GST,$630 ,B,2,0,4,0,"$6,930 ",,1923,2327
,,,,,,,,,,,,,,,,,,,,,,,,,
Suk Kyun Shin,,154308,30/04/2023,526426,,P,Imported Suk Kyun Shin,,Office Cleaning April 23,61215,$850 ,,,,GST,$85 ,B,2,0,2,0,$935 ,,2238,2508
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,154309,1/5/2023,3359,,P,Imported Hightalk Pty Ltd,,"1300 number, Number, SIP line unlimited with support, Wireless Broadband data",61300,$362.73 ,,,,GST,$36.27 ,B,2,0,1,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154310,1/5/2023,94851,,P,Imported Premier Technology Solutions,,"N-central Professional, Premier Care IT Management, User support, Managed Email Protection, Managed Web security",61150,"$2,166.48 ",,,,GST,$216.65 ,B,2,0,1,0,"$2,383.13 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
Watertest Pty Ltd,,154312,24/04/2023,WI0371,,P,Imported Watertest Pty Ltd,,Chloride preparation - Chloride digest only,54400,$304 ,,,,GST,$30.40 ,B,2,0,9,0,$334.40 ,,2290,2539
,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,154313,3/5/2023,366139552,,P,Imported AGL,,Gas 01/03/23 - 01/05/23,66030,$65.09 ,,,,GST,$6.51 ,B,2,0,0,0,$71.60 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,
COGL Sydney 11 Pty Ltd T/A Compass Offices,,154314,4/5/2023,AU07-2399,,P,Imported COGL Sydney 11 Pty Ltd T/A Compass Offices,,Sydney office rent ,66010,"$8,681.20 ",,,,GST,$868.12 ,B,2,0,1,0,"$9,549.32 ",,2336,2575
,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,154315,30/04/2023,145692759,,P,Imported Visy Recycling,,Service fee 01/04/23 -30/04/23,61215,$56.08 ,,,,GST,$5.61 ,B,2,0,5,0,$61.69 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,
Jobfit Health Group Pty Ltd,,154316,27/04/2023,JJHG-SIN505,,P,Imported Jobfit Health Group Pty Ltd,,Jobfit assessment Paolo Alegro,65150,$891 ,,,,GST,$89.10 ,B,2,0,8,0,$980.10 ,,2054,2402
,,,,,,,,,,,,,,,,,,,,,,,,,
Appliance Tagging Services Pty Ltd,,154317,5/5/2023,T23-300048,,P,Imported Appliance Tagging Services Pty Ltd,,Appliance Test,51050,$332.49 ,,,,GST,$33.25 ,B,2,0,3,0,$365.74 ,,1971,2356
,,,,,,,,,,,,,,,,,,,,,,,,,
Botany Access Pty Ltd,,154318,17/04/2023,B111649,,B,Imported Botany Access Pty Ltd,,1 x21m Travel Tower With operator 28 hours & toll charge,54300,"$5,645.61 ",,,,GST,$564.56 ,B,2,0,21,0,"$6,210.17 ",,2464,2663
,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Energy,,154319,8/5/2023,16229984,,P,"Imported Momentum Energy, ",,Office electricity April 23,66060,$900.59 ,,,,GST,$90.51 ,B,2,0,1,0,$991.10 ,,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,
Jims Test & Tag,,154320,4/5/2023,INV-1010,,P,Imported Jims Test & Tag,,"Test and Tag Services to AS/NZS 3760, Test results, Exit and emergency Lights & Fire Services Testing to AS1851",54100,$597 ,,,,GST,$59.70 ,B,2,0,5,0,$656.70 ,,5193,141
,,,,,,,,,,,,,,,,,,,,,,,,,
Premier Technology Solutions,,154321,30/04/2023,95095,,P,Imported Premier Technology Solutions,,"April 23 Microsoft 365 Business Premium, Azure Plan, Exchange online plan 1 & 2, Project plan 3, Office 365 extra file storage, Project plan 1 & 3",61150,"$1,973.57 ",,,,GST,$197.36 ,B,2,0,9,0,"$2,170.93 ",,5501,1863
,,,,,,,,,,,,,,,,,,,,,,,,,
