Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables,,
CEN001,Central Systems,OHS,D,Develop Documentation,,0%,,,,,Y,Y,,
RIO434,SMP Engineering,TEC,D,,,0%,,,,,Y,Y,,
RIO427,Flowserve Pumps,TEC,D,,,0%,,,,,Y,Y,,
RIO235,CSC,TEC,D,,,0%,,,,,Y,Y,,
TUC001,Tutt Consulting,TRA,D,HSE development support,,0%,,,,,Y,Y,,
MON007,HSE Advisor Gorgon Proj,OHS,D,,,0%,,,,,Y,Y,,
RPL113,RPL113,TRA,D,,,0%,,,,,Y,Y,,
RPL108,RPL108,TRA,D,,,0%,,,,,Y,Y,,
PER001,Jetstar Enterprise,ENV,D,ongoing advice and assistance,,0%,,,,,Y,Y,,
RPL202,RPL,TRA,D,,,0%,,,,,Y,Y,,
EMG002,OHS audit NSW site,OHS,D,,,0%,,,,,Y,Y,,
RIO433,Ocean & Earth Training,TEC,D,Ocean & Earth Training,,0%,,,,,Y,Y,,
IMM030m,Offshore ESIA support,ENV,D,,,0%,,,,,Y,Y,,
ILA197,Lead Auditor Course,TRA,D,,,0%,,,,,Y,Y,,
CIV203,Cert IV OHS- 5day intensi,TRA,D,,,0%,,,,,Y,Y,,
IMM030j,Onshore OT intl. ESIA,ENV,D,,,0%,,,,,Y,Y,,
RPL205,RPL-Adv Dip OHS,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS204,NEBOSH DIS,TRA,D,,,0%,,,,,Y,Y,,
FSI001,FINSIA,OHS,D,Financial Services Institute of Australasia-home based site inspection,,0%,,,,,Y,Y,,
KSH001,Presentation Heritage Pol,ENV,D,Presentation Heritage Policy,,0%,,,,,Y,Y,,
NCO001,NCL Consolidated Ltd,OHS,D,HSE MS,,0%,,,,,Y,Y,,
NEBDIS207,Distance learning program,TRA,D,,,0%,,,,,Y,Y,,
RPL208,Recognition of prior lear,TRA,D,,,0%,,,,,Y,Y,,
RPL206,Recognition of propr lear,TRA,D,,,0%,,,,,Y,Y,,
CIG001,ScyMS ISO28000,OHS,D,Security Management System Course,,0%,,,,,Y,Y,,
BSI008,Surveillance Audit-Tanami,Assurance,D,,,0%,,,,,Y,Y,,
BMV002e,Kyzyl Gold Project,ENV,D,,,0%,,,,,Y,Y,,
BBP001,Big Bale Pilbara Pty Ltd,TEC,D,Implementation of a Safety Management System.,,0%,,,,,Y,Y,,
BJV001,Rail reconst -Katherine,TRA,D,Safety Advisor for Rail reconstruction paorject in Katherine(JHG019),,0%,,,,,Y,Y,,
BHP047,Critical Task Analysis,TRA,D,Yando OHP1 & OHP2,,0%,,,,,Y,Y,,
BHP049,Prov of Operation Assist:,TEC,D,,,0%,,,,,Y,Y,,
COM000,Compliance work,TRA,D,,,0%,,,,,Y,Y,,
RIO431,J&S Drilling,TEC,D,,,0%,,,,,Y,Y,,
RIO436,Onyx projects,TEC,D,,,0%,,,,,Y,Y,,
RIO432,CDI,TEC,D,,,0%,,,,,Y,Y,,
SMP001,Valuation of Competency,OHS,D,Saudi Mining Polytechnics,,0%,,,,,Y,Y,,
ASP005,Gap Analysis Report,SEA,D,Gap Analysis Report,,0%,,,,,Y,Y,,
BDT001,Business Dev Training,TRA,D,,,0%,,,,,Y,Y,,
BLM001,ENV Legal complianceAudit,ENV,D,Blina Mineral,,0%,,,,,Y,Y,,
TAE000,TAE000,TRA,D,,,0%,,,,,Y,Y,,
NEW005,Compliance audit,ENV,D,Compliance audit,,0%,,,,,Y,Y,,
MAR003,ENV&Social impact assess,ENV,D,ENV&Social impact assessment report,,0%,,,,,Y,Y,,
DAP001,D'Appolonia S.P.A,ENV,D,Env. Health and Safety,,0%,,,,,Y,Y,,
CIT211,CIT,TRA,D,,,0%,,,,,Y,Y,,
CIT212,CIT,TRA,D,,,0%,,,,,Y,Y,,
TWB001,The World Bank,OHS,D,,,0%,,,,,Y,Y,,
CHM001,Chandler Macleod,TRA,D,Operational Assistance @ BHP office\r\nCatherine Pringle,,0%,,,,,Y,Y,,
ILA203,ILA203,TRA,D,,,0%,,,,,Y,Y,,
EVN001,ENV Due Dilligence,SEA,D,,,0%,,,,,Y,Y,,
RPL209,Recognition of Prior Lear,TRA,D,,,0%,,,,,Y,Y,,
IMM042,2012 quarterly update,ENV,D,2012  q1 q2 q3,,0%,,,,,Y,Y,,
MGD004,Ma'aden Gold,OHS,D,English Language & Prof. Dev't. Training,,0%,,,,,Y,Y,,
TRS000,Non-billable,TRA,D,Non-billable,,0%,,,,,Y,Y,,
BMV002f,Bakyrchik Mining Venture,ENV,D,Air Dispension Modelling,,0%,,,,,Y,Y,,
RIO438,Engenium Engineering,TEC,D,External Audit,,0%,,,,,Y,Y,,
DIR003,Flora & Fauna surveys,ENV,D,Flora & Fauna surveys for Cyclone Zircon Project,,0%,,,,,Y,Y,,
GFR016,FMG Solomon Project,OHS,D,Incident Investigation at FMG Solomon Project,,0%,,,,,Y,Y,,
RIO430,CV Contracting,TEC,D,CMS Audit for CV Contracting,,0%,,,,,Y,Y,,
RIO440,Mining Metals Handling,TEC,D,Surveillance AUdit for Mining Metals Handling,,0%,,,,,Y,Y,,
RTG000,Rio Tinto Global Sourcing,TRA,D,Overseas Training Project Realization Work,,0%,,,,,Y,Y,,
NEBEXA 210,Nebosh,TRA,D,IGC Distance or Block Program,,0%,,,,,Y,Y,,
IMM041,Onshore Services,ENV,D,"Review of OT's ""Other Commitments""",,0%,,,,,Y,Y,,
IMM043,Oyu Tolgoi LLC,ENV,D,Greenhouse Gas Inventory,,0%,,,,,Y,Y,,
ORA001,Operational Risk Assessme,TRA,D,Operational Risk Assessment Workshop,,0%,,,,,Y,Y,,
RPL213,Recognition of Prior L,TRA,D,Crump John's RPL,,0%,,,,,Y,Y,,
RIO416,North West Crane Hire,TEC,D,Pre-Qualification Audit for NW Crane Hire,,0%,,,,,Y,Y,,
RIO437,CMS Audit,TEC,D,CMS Audit - BRL Building Co,,0%,,,,,Y,Y,,
RPL217,RPL - OHS,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS216,Neebosh IGC Distance Lear,TRA,D,,,0%,,,,,Y,Y,,
FUT001a,Greater Western flankEMP,ENV,D,,,0%,,,,,Y,Y,,
SJS001,St. John School,OHS,D,,,0%,,,,,Y,Y,,
BHP052,H&S critical control doc,TRA,D,,,0%,,,,,Y,Y,,
APD001,APD safety support,TRA,D,,,0%,,,,,Y,Y,,
RNM004,Ramu Nico Firefighter,TRA,D,,,0%,,,,,Y,Y,,
JOB001,Jobwire,OHS,D,,,0%,,,,,Y,Y,,
LWB002,Life Without Barriers,TRA,D,,,0%,,,,,Y,Y,,
RPL218,RPL - Holmes Michael,TRA,D,,,0%,,,,,Y,Y,,
LUB001,Lubritene Australia,TRA,D,Safety Management System.,,0%,,,,,Y,Y,,
FUT001,Fugro-TSM Pty Ltd,ENV,D,Environmental Support Services,,0%,,,,,Y,Y,,
MON003,Monadelphous Ltd Group,OHS,D,Development HSE Legal Register,,0%,,,,,Y,Y,,
BHP048,BHPB,TRA,D,Development of Operational Documentation for Newman Beneficiation Plant.,,0%,,,,,Y,Y,,
NEBEXA210,Nebosh,TRA,D,,,0%,,,,,Y,Y,,
RPL220,RPL - Brockwell Sandra,TRA,D,,,0%,,,,,Y,Y,,
CIV219,Cert IV in OHS-Keenan,TRA,D,Cert IV in OHS for Keenan Sharon. Billed employer Rio Tinto,,0%,,,,,Y,Y,,
RIO439,RADO Electrical Services,TEC,D,,,0%,,,,,Y,Y,,
TBT006,Training Business Trainin,TRA,D,DIploma of Quality Auditing,,0%,,,,,Y,Y,,
ITC001,International Technical C,SEA,D,International Technical College,,0%,,,,,Y,Y,,
IMM030l,Onshore OT int ESIA,SEA,D,Onshore services for OT project: Provision fo support services for international ESIA,,0%,,,,,Y,Y,,
TEM001,EIA & Metallurgical Suppo,SEA,D,,,0%,,,,,Y,Y,,
ITC000,Int'l Tech College,TRA,D,,,0%,,,,,Y,Y,,
RIO443,Aspec Engineering,TEC,D,External Audit of Aspec Eng'g HS&E,,0%,,,,,Y,Y,,
ONP001,Onyx Projects,OHS,D,,,0%,,,,,Y,Y,,
JHG020,Safety Advisor-New Children Ho,TRA,D,New Children Hospital,,0%,,,,,Y,Y,,
WUS001,Dev of Safety System Doc,OHS,D,,,0%,,,,,Y,Y,,
ILA215,Lead Audit Course,TRA,D,,,0%,,,,,Y,Y,,
RPL221,Recognition of Prior Lear,TRA,D,Saferight Pty Ltd,,0%,,,,,Y,Y,,
TCL001,Statement of Attainments,TRA,D,Statement of Attainments for Truscott - Crisis Leaders,,0%,,,,,Y,Y,,
GFR017,RPL assessment,OHS,D,,,0%,,,,,Y,Y,,
ASP006,ESI assessment,SEA,D,Transport Corridor ESI assessment,,0%,,,,,Y,Y,,
RIO442,Shire of Ashburton,TEC,D,Action Plan Desktop,,0%,,,,,Y,Y,,
CAP018,Environmental Risk Assess,ENV,D,Cocoatoo Mining Progressive Closure Plan,,0%,,,,,Y,Y,,
MON008,Advisor Gorgon Project,OHS,D,,,0%,,,,,Y,Y,,
RIO446,Risk Free Workplace,TEC,D,,,0%,,,,,Y,Y,,
RIO449,Aqua Environment,TEC,D,,,0%,,,,,Y,Y,,
NEBINT222,Nebosh Intensive,TRA,D,,,0%,,,,,Y,Y,,
NOR001,Northern Railway LLC,SEA,D,Terms of reference Development,,0%,,,,,Y,Y,,
RIO447,ASPEC Engineering,TEC,D,,,0%,,,,,Y,Y,,
RIO444,Rapley&Wikinson,TEC,D,,,0%,,,,,Y,Y,,
RIO441,Dean's Autogalss,TEC,D,,,0%,,,,,Y,Y,,
RIO445,NEC Australia,TEC,D,,,0%,,,,,Y,Y,,
RIO282,Andrew Engineering,TEC,D,,,0%,,,,,Y,Y,,
RPL224,RPL -Diploma of Managemen,TRA,D,Iluka Resource,,0%,,,,,Y,Y,,
RPL225,RPL - Diploma of Business,TRA,D,Iluka Resource,,0%,,,,,Y,Y,,
RHP001,Rhodes Projects,TRA,D,,,0%,,,,,Y,Y,,
KIA001,Gap Analysis & System Dev,ENV,D,Kiewit,,0%,,,,,Y,Y,,
CON001,Concordia,ENV,D,,,0%,,,,,Y,Y,,
CFI003,Consult 5,ENV,D,,,0%,,,,,Y,Y,,
BHP053,Work Instruction Docs,TEC,D,Development of Operational Work Instruction Documentation for Mining Operations,,0%,,,,,Y,Y,,
BHP054,Newman Project Developmen,TRA,D,,,0%,,,,,Y,Y,,
BHP055,Yandi Project Development,TEC,D,,,0%,,,,,Y,Y,,
BHP056,Jimblebar Project Dev't.,TRA,D,,,0%,,,,,Y,Y,,
MMG000,Project Development,TRA,D,,,0%,,,,,Y,Y,,
FUT001b,HSE Management Systems,ENV,D,,,0%,,,,,Y,Y,,
GGW001,Global Ground Water,TEC,D,,,0%,,,,,Y,Y,,
RIO426,HAS Earthmoving,TEC,D,,,0%,,,,,Y,Y,,
CAP019,EMS support,ENV,D,,,0%,,,,,Y,Y,,
ASP004,Aspire Scholarship Progra,SEA,D,Limited implementation support,,0%,,,,,Y,Y,,
NEBDIS226,NEBOSH,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS227,NEBDIS,TRA,D,,,0%,,,,,Y,Y,,
RPL229,Diploma of OHS- RPL,TRA,D,Andrew Scanlin,,0%,,,,,Y,Y,,
WIN001,Windhoist Audit,OHS,D,HSEQ audit,,0%,,,,,Y,Y,,
ZMG001,Zijin Mining Group,ENV,D,Environment and Community Due Diligence,,0%,,,,,Y,Y,,
FOR001,General OHS consulting se,OHS,D,,,0%,,,,,Y,Y,,
SCP001,Sun City Plumbing,OHS,D,Quality Management System,,0%,,,,,Y,Y,,
RPL230,RPL upgrade,TRA,D,Ganjiguur Bukhbat- Energy Resources,,0%,,,,,Y,Y,,
CET002,Centurion,OHS,D,,,0%,,,,,Y,Y,,
BHP059,Review & Update Scope Doc,TRA,D,,,0%,,,,,Y,Y,,
BLA002,Project safety management,OHS,D,,,0%,,,,,Y,Y,,
CET001,Assist in development EMS,ENV,D,,,0%,,,,,Y,Y,,
JHG021,Reviews into rail inciden,TRA,D,,,0%,,,,,Y,Y,,
BUV001,Audit Services,OHS,D,,,0%,,,,,Y,Y,,
SER001,Safety support,OHS,D,,,0%,,,,,Y,Y,,
RPL236,RPL Uuganbayar D,TRA,D,,,0%,,,,,Y,Y,,
ACA228,Aboriginal Cultural Aware,TRA,D,,,0%,,,,,Y,Y,,
NEBDIS235,NEEBOSH Distance prg,TRA,D,,,0%,,,,,Y,Y,,
ILA283,Jarrad Leslie Sherborne,TRA,D,,,0%,,,,,Y,Y,,
TEN001,Tenix,OHS,D,,,0%,,,,,Y,Y,,
RIO461,Hivac Services,TEC,D,Action Plan Desktop,,0%,,,,,Y,Y,,
RIO463,Western Lockservices,TEC,D,Prequalication audit,,0%,,,,,Y,Y,,
ADM001,Marketing & Promotion,mis004,D,,,0%,,,,,Y,Y,,
SBM001,Social Program Support,ENV,D,Colluli Project,,0%,,,,,Y,Y,,
TEM000,RTIO CMS Doc Template,TRA,D,,,0%,,,,,Y,Y,,
RIO453,Firm Construction,TEC,D,Firm Construction,,0%,,,,,Y,Y,,
EBR002,implement ESAP,SEA,D,Implementation of Darkhan Nekhii ESAP,,0%,,,,,Y,Y,,
RIO459,Cool Clear Water,TEC,D,,,0%,,,,,Y,Y,,
MAR004,Manas ESIA Phase 3,ENV,D,Social Support,,0%,,,,,Y,Y,,
RIO465,Austin Engineering,TEC,D,Surveillance Action Plan,,0%,,,,,Y,Y,,
RIO448,Bureau Veritas,TEC,D,,,0%,,,,,Y,Y,,
EMT001,Env Mgt Training,SEA,D,,,0%,,,,,Y,Y,,
RIO460,MECHSA ( Test Pumping),TEC,D,Prequalification,,0%,,,,,Y,Y,,
SBT011,Cert IV TAE - RPL,TRA,D,Patricia Robertson,,0%,,,,,Y,Y,,
RIO450,AMMS Engineering,TEC,D,,,0%,,,,,Y,Y,,
RIO455,Coffeefresh,TEC,D,,,0%,,,,,Y,Y,,
RIO456,Refresh Waters,TEC,D,,,0%,,,,,Y,Y,,
RPL238,Doug Turner,TRA,D,,,0%,,,,,Y,Y,,
DPM001,SMS,OHS,D,,,0%,,,,,Y,Y,,
CAT001,Caterpillar prroject,TEC,D,CAT transfer to TCS in July 2013,,0%,,,,,Y,Y,,
IMM044,translation support servi,SEA,D,,,0%,,,,,Y,Y,,
NMC018,Newmont,ENV,D,,,0%,,,,,Y,Y,,
WPC002,Hazard ID & Risk Assesmnt,TRA,D,,,0%,,,,,Y,Y,,
RIO308,Carey Mining,TEC,D,,,0%,,,,,Y,Y,,
RPL239,recognition of prior lear,TRA,D,David Fletcher,,0%,,,,,Y,Y,,
SCA001,Sust Central Asia,OHS,D,BPJ 002,,0%,,,,,Y,Y,,
RIO314,Car Civil Contructing,TEC,D,,,0%,,,,,Y,Y,,
BPJ003,Emergency response plan,SCA,D,,,0%,,,,,Y,Y,,
CIR001,Citrus Partners LLP,ENV,D,,,0%,,,,,Y,Y,,
RPL240,recognition of prior lear,TRA,D,Enerflex Services,,0%,,,,,Y,Y,,
RPL243,adv dip ohs -rpl,TRA,D,Noel Mills - Diploma OHS,,0%,,,,,Y,Y,,
RPL241,diploma -RPL,TRA,D,Enerflex Services,,0%,,,,,Y,Y,,
RPL242,Advanced Dip - RPL,TRA,D,Enerflex Services,,0%,,,,,Y,Y,,
CIV244,Cert-IV in OHS - 5 day in,TRA,D,,,0%,,,,,Y,Y,,
RPL245,RPL,TRA,D,James Hugh Tollan,,0%,,,,,Y,Y,,
RPL246,RPL Cert IV TAE,TRA,D,James Hugh Tollan,,0%,,,,,Y,Y,,
BHP057,Work instructions for Mt,TEC,D,Mt Whaleback & Eastern Ridge Mine sites,,0%,,,,,Y,Y,,
BHP060,Yandi OHP 1,TRA,D,Development of Operational Work Instruction Documentation for Yandi OHP 1,,0%,,,,,Y,Y,,
BHP061,Yandi OHP 2,TEC,D,Development of Operational Work Instruction Documentation for Yandi OHP 2,,0%,,,,,Y,Y,,
NEBEXA222,Nebosh Exams,TRA,D,,,0%,,,,,Y,Y,,
WPC003,Management Procedure,TRA,D,Develop Contractor Management Procedure, Employee Checklist and Training Package for PCL,,0%,,,,,Y,Y,
RIO468,Freo Group,TEC,D,Surveillance,,0%,,,,,Y,Y,,
TER001,Terra Energy LLC,SEA,D,Engagement & Community Dev't.,,0%,,,,,Y,Y,,
RNM003,New Job,TRA,D,,,0%,,,,,Y,Y,,
ERS009,Energy Resources PPL,TRA,D,,,0%,,,,,Y,Y,,
PLR001,Pluton Resources,TRA,D,,,0%,,,,,Y,Y,,
TAN001,Tanamai,TRA,D,,,0%,,,,,Y,Y,,
WAL001,Wallis Drilling,TRA,D,Auditing and training,,0%,,,,,Y,Y,,
ILA233,Lead Audit Course,TRA,D,,,0%,,,,,Y,Y,,
ILA247,Lead Auditor Course,TRA,D,,,0%,,,,,Y,Y,,
RIO457,Plantech,TEC,D,,,0%,,,,,Y,Y,,
AMM001,Aust Mines & Mineral Asso,TRA,D,,,0%,,,,,Y,Y,,
GFT001,Traineeships,TRA,D,,,0%,,,,,Y,Y,,
RAC001,Royal Aero Club,TRA,D,Customization of course materials,,0%,,,,,Y,Y,,
RIO467,Allwest Racking Solutions,TEC,D,Prequalification Audit,,0%,,,,,Y,Y,,
IMM030N,Onshore ESIA support,SEA,D,,,0%,,,,,Y,Y,,
RIO226,Handy Hands Weed Control,TEC,D,,,0%,,,,,Y,Y,,
ASP007,Develop DRMP template,SEA,D,,,0%,,,,,Y,Y,,
OYT001,ESIA support,SEA,D,OT Town and Business Park,,0%,,,,,Y,Y,,
TEN002,Consulting services,OHS,D,,,0%,,,,,Y,Y,,
RIO281,Statewide Equipment,TEC,D,,,0%,,,,,Y,Y,,
RIO466,Archae-Aus Pty Ltd,TEC,D,Prequalification Audit,,0%,,,,,Y,Y,,
RIO470,Seaforce Marine Diving,TEC,D,Action Plan Desktop,,0%,,,,,Y,Y,,
KML001,Environmental Management,ENV,D,,,0%,,,,,Y,Y,,
CIV249,certificate IV OHS-5 day,TRA,D,,,0%,,,,,Y,Y,,
WSE013,Woodside Energy,ENV,D,Compliance Audit,,0%,,,,,Y,Y,,
RPL250,RPL,TRA,D,brian Hurley,,0%,,,,,Y,Y,,
GFR018,Safety support-Solomon,OHS,D,,,0%,,,,,Y,Y,,
RIO452,TSG Group,TEC,D,,,0%,,,,,Y,Y,,
IMM030o,offshore -ESIA support,ENV,D,,,0%,,,,,Y,Y,,
RIO192,New Job,TEC,D,,,0%,,,,,Y,Y,,
ILA251,Savco Consulting,TRA,D,,,0%,,,,,Y,Y,,
RPL252,Corey Makings,TRA,D,,,0%,,,,,Y,Y,,
RIO472,Poinciana Nursery,TEC,D,Prequalification Audit,,0%,,,,,Y,Y,,
RIO315,Transfield Services,TEC,D,,,0%,,,,,Y,Y,,
ILA253,RIO Tinto Pilbara Iron,TRA,D,,,0%,,,,,Y,Y,,
BGA003,Barrick Gold Australia,ENV,D,Cyanide Code Audit,,0%,,,,,Y,Y,,
TEN003,Safety JSA/JHA Training,OHS,D,,,0%,,,,,Y,Y,,
NEBEXA237,Nebosh,TRA,D,International Health & Safety Management,,0%,,,,,Y,Y,,
WSE014,Oil Spill Response Plan.,ENV,D,,,0%,,,,,Y,Y,,
API002,Hazard & Risk Registers,OHS,D,,,0%,,,,,Y,Y,,
CIT001,Citrus,ENV,D,,,0%,,,,,Y,Y,,
AES001,Austral Electrical Servic,TRA,D,Implementation of Safety Management,,0%,,,,,Y,Y,,
DPM002,PT Dairi Prima Mineral,OHS,D,Implementation of HSSE Mgt Tools,,0%,,,,,Y,Y,,
BHP050,BHP Billiton,TEC,D,Newman Hub Format,,0%,,,,,Y,Y,,
DTS001,Dev&support of SMS,TEC,D,,,0%,,,,,Y,Y,,
CAT002,work instructions,TRA,D,,,0%,,,,,Y,Y,,
RIO473,Naughtons Earthmoving,TEC,D,Surveillance,,0%,,,,,Y,Y,,
BHP064,SAO training Jimblebar,TRA,D,,,0%,,,,,Y,Y,,
RIO469,David Brown Gear Industry,TEC,D,Prequalification Audit,,0%,,,,,Y,Y,,
LWB003,Training in Broom,TRA,D,,,0%,,,,,Y,Y,,
BHP067,Safety Standard Developmt,TEC,D,,,0%,,,,,Y,Y,,
TER002,Terra Energy,SEA,D,,,0%,,,,,Y,Y,,
TEN004,Dev of safety Procedure,OHS,D,,,0%,,,,,Y,Y,,
JST001,Jordan Safety Training,SCA,D,,,0%,,,,,Y,Y,,
MAR005,Shambesai Gold Proj,ENV,D,,,0%,,,,,Y,Y,,
GFR019,1 off,1 site&1mgr support,OHS,D,former GFR012a,GFR012b and GFR000,,0%,,,,,Y,Y
RIO471,Leeds Cattle Transport,TEC,D,Prequalification,,0%,,,,,Y,Y,,
RIO458,Crown Relocations,TEC,D,,,0%,,,,,Y,Y,,
GFR020,GFR,OHS,D,Verification of Competencies,,0%,,,,,Y,Y,,
PCL000,New Job,TRA,D,,,0%,,,,,Y,Y,,
RIO462,CCR Hose & Fitting,TEC,D,Surveillance,,0%,,,,,Y,Y,,
RIO464,Chubb Fire Safety,TEC,D,Surveillance,,0%,,,,,Y,Y,,
RIO475,ITC Global,TEC,D,Prequalification,,0%,,,,,Y,Y,,
RIO474,Aggreko,TEC,D,Prequalification Audit,,0%,,,,,Y,Y,,
RPL255,Cert IV - RPL,TRA,D,,,0%,,,,,Y,Y,,
BHP065,Safety Intervention,TRA,D,,,0%,,,,,Y,Y,,
PCL001,Perth City Link Rail Alli,TRA,D,VOC,,0%,,,,,Y,Y,,
PCL003,Scafwest,TRA,D,Verification of Competence,,0%,,,,,Y,Y,,
PCL002,Monford Group,TRA,D,Verification of Competence,,0%,,,,,Y,Y,,
TEC000,TEC admin,TEC,D,Contracting &Tech Service Admin,,0%,,,,,N,N,,
TEC,Tech Services,,H,,,0%,,,,,N,N,,
BUS001,Business Development,mis004,D,Terry Jones,,0%,,,,,Y,Y,,
VIM000,VIM,mis004,D,,,0%,,,,,Y,Y,,
mis004,Corporate Services,,H,,,0%,,,,,N,N,,
BHP062,Scope writing,TEC,D,,,0%,,,,,Y,Y,,
PBM003,Phu Bia Mining Limited,ENV,D,Gap Analysis of BHX Gold MIne,,0%,,,,,Y,Y,,
RIO478,Safety advisor support,TRA,D,to support contractor HSE management at Hope Dwons,,0%,,,,,Y,Y,,
TEN005,Fuel Farm Project,OHS,D,,,0%,,,,,Y,Y,,
SHA001,Impact Assessment Review,ENV,D,,,0%,,,,,Y,Y,,
SHA002,Consultants Ongoing Assis,OHS,D,,,0%,,,,,Y,Y,,
CIV254,Cert IV of OHS-P Jackson,TRA,D,,,0%,,,,,Y,Y,,
CSA001,City to Surf Risk Mgt Pla,TRA,D,,,0%,,,,,Y,Y,,
RPL258,Advanced Diploma of OHS -,TRA,D,Bradley Allan Kitcher,,0%,,,,,Y,Y,,
BMV002g,ESIA Project close out,ENV,D,,,0%,,,,,Y,Y,,
RPL247,Diploma of OHS - RPL,TRA,D,,,0%,,,,,Y,Y,,
RPL260,Diploma of OHS - RPL,TRA,D,Nicholas Lynch,,0%,,,,,Y,Y,,
NEBINT257,Nebosh Intensive,TRA,D,,,0%,,,,,Y,Y,,
ILA263,Michelle May Doak,TRA,D,,,0%,,,,,Y,Y,,
NEBEXA262,Nebosh Exams,TRA,D,,,0%,,,,,Y,Y,,
WSE015,Compliance Desktop Audit,ENV,D,,,0%,,,,,Y,Y,,
WSE016,A peer review and editing,ENV,D,,,0%,,,,,Y,Y,,
BCS001,Workshop,TRA,D,,,0%,,,,,Y,Y,,
RIO481,Gravity Cranes,TEC,D,Pre-qualification audit,,0%,,,,,Y,Y,,
RIO483,Bhagwan Marine,TEC,D,Action Plan Dektop,,0%,,,,,Y,Y,,
WSE017,Risk Advisor,OHS,D,,,0%,,,,,Y,Y,,
CRS001,Develop Stakeholder Works,SEA,D,,,0%,,,,,Y,Y,,
SSL001,Review of Safety Docs,OHS,D,,,0%,,,,,Y,Y,,
RIO476,KLM shared services audit,TEC,D,,,0%,,,,,Y,Y,,
RIO477,Rolls Royce audits action,TEC,D,,,0%,,,,,Y,Y,,
WPR009,S&H evaluation of doc,Assurance,D,Safety & Health evaluation of pre-tender, ternder and contract documentation proposal,,0%,,,,,Y,Y,
BUS002,Business Dev 2,mis004,D,TWS Mongolia trips,,0%,,,,,Y,Y,,
RIO479,Simplex communications,TEC,D,Prequalification audit,,0%,,,,,Y,Y,,
RIO480,Australian Mining Constru,TEC,D,Prequalification audit,,0%,,,,,Y,Y,,
RPL265,Adv Diploma of OHS - RPL,TRA,D,Shane Waller,,0%,,,,,Y,Y,,
RIO484,Sage Automation,TEC,D,Pre-qualitfication audit,,0%,,,,,Y,Y,,
RIO482,Aust Marine Gp,TEC,D,Sustainability CMS audit,,0%,,,,,Y,Y,,
JUN001,UNDP Jordan,SCA,D,Jordan climate change & disaster reduction study,,0%,,,,,Y,Y,,
OYT002,HSE Management System,ENV,D,,,0%,,,,,Y,Y,,
LEA001,Leadcon Electrical,TEC,D,Health Safety and Environment,,0%,,,,,Y,Y,,
APL001,Agility Project Logistics,OHS,D,,,0%,,,,,Y,Y,,
RIO487,WCD office Partitions,TEC,D,,,0%,,,,,Y,Y,,
BHP066,SAO Perth,TRA,D,,,0%,,,,,Y,Y,,
CCI001,Gary Bravery-T'ship,TRA,D,,,0%,,,,,Y,Y,,
CCI002,Kevin Enright,TRA,D,,,0%,,,,,Y,Y,,
HOP001,Risk & Hazard workshop,TEC,D,,,0%,,,,,Y,Y,,
KIA002,Kiewit,ENV,D,Envonmental Technical Assistance,,0%,,,,,Y,Y,,
MEJ001,Ministry of Env. Jordan,SCA,D,,,0%,,,,,Y,Y,,
RPL266,Adv Diploma of OHS - RPL,TRA,D,Lubna Ibrahim,,0%,,,,,Y,Y,,
TEN007,Tenix,OHS,D,Review Fatigue Mgt Plan,,0%,,,,,Y,Y,,
CRS002,Connect Resource Services,ENV,D,Provision of EMP,,0%,,,,,Y,Y,,
OYT003,Oyu Tolgoi,SEA,D,Onshore Env Support OT,,0%,,,,,Y,Y,,
CFI004,Consult 5,ENV,D,,,0%,,,,,Y,Y,,
RPL267,Adv Diploma of OHS - RPL,TRA,D,Ross Leslie Wighton,,0%,,,,,Y,Y,,
ASP008,Aspire Mining Ltd,SEA,D,Consulation services,,0%,,,,,Y,Y,,
CAP020,Cliffs Natural Resources,SEA,D,Onshore Health & Safety Support,,0%,,,,,Y,Y,,
MRC001,Mongolian Resource Corp,SEA,D,Metallurgical advice and translation,,0%,,,,,Y,Y,,
CRS003,Connect Resource Services,SEA,D,Develop & Deliver Workshop,,0%,,,,,Y,Y,,
RIO495,Velmont-charge to RIO,TEC,D,,,0%,,,,,Y,Y,,
RPL268,Advanced Diploma of OHS,TRA,D,St Barbara Ltd,,0%,,,,,Y,Y,,
RPL271,Cert IV in Training & Ass,TRA,D,,,0%,,,,,Y,Y,,
OYT003a,Offshore Env Support,ENV,D,,,0%,,,,,Y,Y,,
RIO490,Bullivants,TEC,D,,,0%,,,,,Y,Y,,
RIO497,HSEQ Paraburdoo,TEC,D,,,0%,,,,,Y,Y,,
RPL259,BHP Billiton Iron Ore,TRA,D,,,0%,,,,,Y,Y,,
KIA003,Risk Assessment,ENV,D,,,0%,,,,,Y,Y,,
RPL273,Adv Diploma of OHS-RPL,TRA,D,,,0%,,,,,Y,Y,,
RIO489,Red Rust Contracting,TEC,D,Prequalification Audit,,0%,,,,,Y,Y,,
VOA001,Training to Van Oord,OHS,D,,,0%,,,,,Y,Y,,
JTW001,HSE Management System,TEC,D,,,0%,,,,,Y,Y,,
HSE001,WHS Component,ENV,D,,,0%,,,,,Y,Y,,
