Created: 23/06/2025 14:41,Independent Slip Testing Services,,,,,,,
PO Box 777 Wynnum   Queensland   4178 Australia,,,,,,,,
General Journal,,,,,,,,
ABN: 62 109 478 088,,,,,,,,
01/07/2021 To 23/06/2025,,,,,,,,
Email: mick@sliptesting.com.au,,,,,,,,
ID No.,Account No.,Account Name,Debit,Credit,Job No.,Memo,Name,Payee
GJ000362,21106,Company Income Tax Payable,"£6,140.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60029,Fringe Benefits Tax,"£5,950.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£48,513.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£16,017.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£16,890.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£18,520.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£3,886.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£17,468.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£17,990.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£6,273.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£16,864.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21106,Company Income Tax Payable,"£6,380.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60029,Fringe Benefits Tax,£783.00,,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£12,932.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£3,628.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£19,625.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£17,517.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£13,544.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£24,340.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£14,793.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£4,644.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£17,230.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21106,Company Income Tax Payable,"£6,380.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60029,Fringe Benefits Tax,"£3,367.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£16,093.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£5,019.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£16,480.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£21,476.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£6,825.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£16,181.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£18,190.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£5,737.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£17,120.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60029,Fringe Benefits Tax,"£3,367.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£14,185.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£4,163.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£17,555.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21101,GST Collected,"£16,666.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£13,447.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,"£18,218.00",,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60032,Interest Expense,£133.73,,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60029,Fringe Benefits Tax,,"£2,070.44",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21106,Company Income Tax Payable,,"£29,732.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21203,PAYG Withholding Payable,,£0.45,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,60001,Bank Fees,£0.45,,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£12,655.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£10,073.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,"£20,903.00",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21103,ATO Running Balance A/c,,"£312,703.29",,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ000362,21102,GST Paid,,£5.00,,EA ICA movement for 2024 FY,,EA ICA movement for 2024 FY
GJ,30/06/2024,,,,,,,
GJ000363,11818,Undeposited Funds,£0.02,,,,,
GJ000363,60001,Bank Fees,,£0.02,,,,
GJ,30/06/2024,Record Interest on loan 049DV7,,,,,,
GJ000364,60032,Interest Expense,£974.74,,,Record Interest on loan 049DV7,,Record Interest on loan 049DV7
GJ000364,21301,BMW FINANCE 049DV7,,£974.74,,Record Interest on loan 049DV7,,Record Interest on loan 049DV7
GJ,30/06/2024,EA EOY Interest on HP loan,,,,,,
GJ000365,60032,Interest Expense,"£1,855.12",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000365,12300,Prepaid Borrowing Expenses,"£1,380.00",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000365,21302,RAV4 FINANCE 469HZ3,,"£3,235.12",,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ,30/06/2024,EA EOY Interest on HP loan,,,,,,
GJ000366,60032,Interest Expense,"£1,503.51",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000366,12300,Prepaid Borrowing Expenses,"£1,380.00",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000366,21303,RAV4 FINANCE 204IS2,,"£2,883.51",,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ,30/06/2024,EA EOY Interest on HP loan,,,,,,
GJ000367,12300,Prepaid Borrowing Expenses,"£1,380.00",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000367,21304,RAV4 FINANCE 480JW9,,"£1,380.00",,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ,30/06/2024,EA EOY Interest on HP loan,,,,,,
GJ000368,12300,Prepaid Borrowing Expenses,"£1,380.00",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000368,21305,RAV4 FINANCE 483WJ9,,"£1,380.00",,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ,30/06/2024,EA EOY Interest on HP loan,,,,,,
GJ000369,12300,Prepaid Borrowing Expenses,"£1,380.00",,,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ000369,21306,RAV FINANCE DL34BV,,"£1,380.00",,EA EOY Interest on HP loan,,EA EOY Interest on HP loan
GJ,30/06/2024,EA EOY 2024 Borrowing cost,,,,,,
GJ000370,60005,Borrowing Costs,£489.50,,,EA EOY 2024 Borrowing cost,,EA EOY 2024 Borrowing cost
GJ000370,12300,Prepaid Borrowing Expenses,,£489.50,,EA EOY 2024 Borrowing cost,,EA EOY 2024 Borrowing cost
GJ,30/06/2024,EA EOY Depreciation & Disposal of assets,,,,,,
GJ000371,60015,Depreciation Expense,"£106,456.56",,,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,13320,L'hold Improve Amortisation,,"£2,865.91",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,13340,Accum Dep Plant and Equip,,"£17,859.30",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,11303,Office Equip Accum Depn,,"£2,010.76",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,11402,Motor vehicles Accum Depn,,"£83,720.59",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,11401,Motor Vehicles at cost,,"£115,525.61",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,13330,Plant  and Equipment,,"£11,640.03",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,43005,Proceeds on Sale,"£75,523.40",,,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,43005,Proceeds on Sale,,"£21,160.71",,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,13340,Accum Dep Plant and Equip,"£5,051.20",,,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ000371,11402,Motor vehicles Accum Depn,"£67,751.75",,,EA EOY Depreciation & Disposal of assets,,EA EOY Depreciation & Disposal of assets
GJ,30/06/2024,EA EOY Post provision for income tax,,,,,,
GJ000372,93000,Income Tax Expense,"£18,991.25",,,EA EOY Post provision for income tax,,EA EOY Post provision for income tax
GJ000372,21106,Company Income Tax Payable,,"£18,991.25",,EA EOY Post provision for income tax,,EA EOY Post provision for income tax
GJ,30/06/2024,EA EOY Disposal of assets,,,,,,
GJ000375,11303,Office Equip Accum Depn,"£69,893.00",,,EA EOY Disposal of assets ,,EA EOY Disposal of assets 
GJ000375,11302,Office Equipment at Cost,,"£74,737.00",,EA EOY Disposal of assets ,,EA EOY Disposal of assets 
GJ000375,43005,Proceeds on Sale,"£4,844.00",,,EA EOY Disposal of assets ,,EA EOY Disposal of assets 
GJ,30/06/2024,EA EOY Average Rent Sydney apartment,,,,,,
GJ000376,62706,Rent Sydney Apartment,"£10,135.00",,,EA EOY Average Rent Sydney apartment,,EA EOY Average Rent Sydney apartment
GJ000376,21501,Loans  Walton Global,,"£10,135.00",,EA EOY Average Rent Sydney apartment,,EA EOY Average Rent Sydney apartment
GJ,30/06/2024,EA Clear Mick's loan,,,,,,
GJ000377,21401,Loan  Mick Walton 18752,,"£81,874.63",,EA Clear Mick's loan,,EA Clear Mick's loan
GJ000377,21402,Mike Walton 13658,"£41,520.78",,,EA Clear Mick's loan,,EA Clear Mick's loan
GJ000377,21501,Loans  Walton Global,"£40,353.85",,,EA Clear Mick's loan,,EA Clear Mick's loan
GJ,01/07/2024,End of Year Adjustment,,,,,,
GJ000000,39000,Current Year Earnings,,"£69,825.30",,End of Year Adjustment,,End of Year Adjustment
GJ000000,38000,Retained Earnings,"£69,825.30",,,End of Year Adjustment,,End of Year Adjustment
GJ,01/07/2024,EB: ATO General Interest Charge,,,,,,
GJ000392,60032,Interest Expense,£203.14,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000392,21103,ATO Running Balance A/c,,£203.14,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,15/07/2024,Reclassification first payment received from Centrelink Paid parental leave paid from 15062024 to 15072024 $882.75 each week,,,,,,
GJ000354,21202,Parental Leave Funds,"£5,296.50",,,Reclassification first payment received from Centrelink Paid parental leave paid from 15062024 to 15072024 $882.75 each week,,Reclassification first payment received from Centrelink Paid parental leave paid from 15062024 to 15072024 $882.75 each week
GJ000354,83000,Parental Leave Funds,,"£5,296.50",,Reclassification first payment received from Centrelink Paid parental leave paid from 15062024 to 15072024 $882.75 each week,,Reclassification first payment received from Centrelink Paid parental leave paid from 15062024 to 15072024 $882.75 each week
GJ,22/07/2024,EB: June 24 BAS,,,,,,
GJ000382,21102,GST Paid,,"£13,260.00",,EB: June 24 BAS,,EB: June 24 BAS
GJ000382,21101,GST Collected,"£21,478.00",,,EB: June 24 BAS,,EB: June 24 BAS
GJ000382,21203,PAYG Withholding Payable,"£17,790.00",,,EB: June 24 BAS,,EB: June 24 BAS
GJ000382,60029,Fringe Benefits Tax,"£2,849.00",,,EB: June 24 BAS,,EB: June 24 BAS
GJ000382,21103,ATO Running Balance A/c,,"£28,857.00",,EB: June 24 BAS,,EB: June 24 BAS
GJ,22/07/2024,EB: ATO General Interest Charge,,,,,,
GJ000393,60032,Interest Expense,£102.82,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000393,21103,ATO Running Balance A/c,,£102.82,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,31/07/2024,Reclassification excess vehicle Nathan Martin first instalment RAV 4 923EL5,,,,,,
GJ000355,21201,Payroll Deductions Payable,£350.00,,,Reclassification excess vehicle Nathan Martin first instalment RAV 4 923EL5 ,,Reclassification excess vehicle Nathan Martin first instalment RAV 4 923EL5 
GJ000355,62005,M/V Repairs & Maintenance,,£350.00,,Reclassification excess vehicle Nathan Martin first instalment RAV 4 923EL5 ,,Reclassification excess vehicle Nathan Martin first instalment RAV 4 923EL5 
GJ,31/07/2024,Reclassification paid parental leave 4th payment to Nikita Murtagh wage $882.75 paid on 31072024.,,,,,,
GJ000356,21202,Parental Leave Funds,£882.75,,,Reclassification paid parental leave 4th payment to Nikita Murtagh wage $882.75 paid on 31072024. ,,Reclassification paid parental leave 4th payment to Nikita Murtagh wage $882.75 paid on 31072024. 
GJ000356,83000,Parental Leave Funds,,£882.75,,Reclassification paid parental leave 4th payment to Nikita Murtagh wage $882.75 paid on 31072024. ,,Reclassification paid parental leave 4th payment to Nikita Murtagh wage $882.75 paid on 31072024. 
GJ,01/08/2024,EB: ATO General Interest Charge,,,,,,
GJ000394,60032,Interest Expense,£126.12,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000394,21103,ATO Running Balance A/c,,£126.12,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,13/08/2024,RAV 4 acquisition and finance registration 154KV2,,,,,,
GJ000357,11401,Motor Vehicles at cost,"£46,736.36",,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11401,Motor Vehicles at cost,,"£1,000.00",,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11401,Motor Vehicles at cost,£613.64,,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11401,Motor Vehicles at cost,£113.64,,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11401,Motor Vehicles at cost,£904.54,,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,62015,M/V Insurance,£386.00,,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,62004,M/V Registration,£493.55,,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11401,Motor Vehicles at cost,"£1,046.00",,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11304,Deposit Account (RAV4),,"£5,000.00",,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,11114,BOQ New Project 80942,,"£15,000.00",,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,21307,RAV4 FINANCE 154KV2,,"£29,030.55",,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,21002,ANZ (new) CrCard 89489,,"£5,000.00",,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ000357,21102,GST Paid,"£4,736.82",,,RAV 4 acquisition and finance registration 154KV2,,RAV 4 acquisition and finance registration 154KV2
GJ,21/08/2024,EB: July 24 BAS,,,,,,
GJ000383,21102,GST Paid,,"£5,737.00",,EB: July 24 BAS,,EB: July 24 BAS
GJ000383,21101,GST Collected,"£16,676.00",,,EB: July 24 BAS,,EB: July 24 BAS
GJ000383,21203,PAYG Withholding Payable,"£16,052.00",,,EB: July 24 BAS,,EB: July 24 BAS
GJ000383,21103,ATO Running Balance A/c,,"£26,991.00",,EB: July 24 BAS,,EB: July 24 BAS
GJ,22/08/2024,Nifty IT paid by New Zealand Credit card as Mick confused them. NZ$2134.88,,,,,,
GJ000358,61001,Computer/ IT Services,"£1,870.00",,,Nifty IT paid by New Zealand Credit card as Mick confused them. NZ$2134.88 ,,Nifty IT paid by New Zealand Credit card as Mick confused them. NZ$2134.88 
GJ000358,14001,Loan to New Zeland,,"£1,870.00",,Nifty IT paid by New Zealand Credit card as Mick confused them. NZ$2134.88 ,,Nifty IT paid by New Zealand Credit card as Mick confused them. NZ$2134.88 
GJ,31/08/2024,Reclassification excess vehicle Nathan Martin second instalment RAV 4 923EL5,,,,,,
GJ000359,21201,Payroll Deductions Payable,£350.00,,,Reclassification excess vehicle Nathan Martin second instalment RAV 4 923EL5 ,,Reclassification excess vehicle Nathan Martin second instalment RAV 4 923EL5 
GJ000359,62005,M/V Repairs & Maintenance,,£350.00,,Reclassification excess vehicle Nathan Martin second instalment RAV 4 923EL5 ,,Reclassification excess vehicle Nathan Martin second instalment RAV 4 923EL5 
GJ,31/08/2024,Reclassification Nikita parental leave 5 payments of $915.80. 1 payment of $915.80 paid on 31072024 and 2 payments from 15082024 to 31082024,,,,,,
GJ000360,21202,Parental Leave Funds,"£4,579.00",,,Reclassification Nikita parental leave 5 payments of $915.80. 1 payment of $915.80 paid on 31072024 and 2 payments from 15082024 to 31082024,,Reclassification Nikita parental leave 5 payments of $915.80. 1 payment of $915.80 paid on 31072024 and 2 payments from 15082024 to 31082024
GJ000360,83000,Parental Leave Funds,,"£4,579.00",,Reclassification Nikita parental leave 5 payments of $915.80. 1 payment of $915.80 paid on 31072024 and 2 payments from 15082024 to 31082024,,Reclassification Nikita parental leave 5 payments of $915.80. 1 payment of $915.80 paid on 31072024 and 2 payments from 15082024 to 31082024
GJ,02/09/2024,EB: ATO General Interest Charge,,,,,,
GJ000395,60032,Interest Expense,£321.15,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000395,21103,ATO Running Balance A/c,,£321.15,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,02/09/2024,EB: Amended General Interest Charge,,,,,,
GJ000408,60032,Interest Expense,,£2.33,,EB: Amended General Interest Charge,,EB: Amended General Interest Charge
GJ000408,21103,ATO Running Balance A/c,£2.33,,,EB: Amended General Interest Charge,,EB: Amended General Interest Charge
GJ,24/09/2024,EB: August 24 BAS,,,,,,
GJ000384,21102,GST Paid,,"£9,641.00",,EB: August 24 BAS,,EB: August 24 BAS
GJ000384,21101,GST Collected,"£18,152.00",,,EB: August 24 BAS,,EB: August 24 BAS
GJ000384,21203,PAYG Withholding Payable,"£18,213.00",,,EB: August 24 BAS,,EB: August 24 BAS
GJ000384,21103,ATO Running Balance A/c,,"£26,724.00",,EB: August 24 BAS,,EB: August 24 BAS
GJ,01/10/2024,EB: ATO General Interest Charge,,,,,,
GJ000396,60032,Interest Expense,£313.08,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000396,21103,ATO Running Balance A/c,,£313.08,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,15/10/2024,Reclassification Nikita parental leave payments frpm 15092024 to 15102024.,,,,,,
GJ000361,21202,Parental Leave Funds,"£5,494.80",,,Reclassification Nikita parental leave payments frpm 15092024 to 15102024.,,Reclassification Nikita parental leave payments frpm 15092024 to 15102024.
GJ000361,83000,Parental Leave Funds,,"£5,494.80",,Reclassification Nikita parental leave payments frpm 15092024 to 15102024.,,Reclassification Nikita parental leave payments frpm 15092024 to 15102024.
GJ,21/10/2024,EB: Sept 24 BAS,,,,,,
GJ000385,21102,GST Paid,,"£4,801.00",,EB: Sept 24 BAS,,EB: Sept 24 BAS
GJ000385,21101,GST Collected,"£19,996.00",,,EB: Sept 24 BAS,,EB: Sept 24 BAS
GJ000385,21203,PAYG Withholding Payable,"£17,072.00",,,EB: Sept 24 BAS,,EB: Sept 24 BAS
GJ000385,60029,Fringe Benefits Tax,"£2,849.00",,,EB: Sept 24 BAS,,EB: Sept 24 BAS
GJ000385,21103,ATO Running Balance A/c,,"£35,116.00",,EB: Sept 24 BAS,,EB: Sept 24 BAS
GJ,31/10/2024,Clear Tracking account for goods   $99.50 (credit) Ebay mistake posting the price in MYOB.    $224.70 (Debit) Crystal White Mop Heads ordered but they did not have the good to be delivered   $144.35 (debit Northside Cleaning Same story as Crystal White,,,,,,
GJ000378,11202,Tracking account for goods not,,£216.68,,Clear Tracking account for goods  $99.50 (credit) Ebay mistake posting the price in MYOB.   $224.70 (Debit) Crystal White Mop Heads ordered but they did not have the good to be delivered  $144.35 (debit Northside Cleaning Same story as Crystal White,,Clear Tracking account for goods  $99.50 (credit) Ebay mistake posting the price in MYOB.   $224.70 (Debit) Crystal White Mop Heads ordered but they did not have the good to be delivered  $144.35 (debit Northside Cleaning Same story as Crystal White
GJ000378,50001,Cost of Sales,£216.68,,,Clear Tracking account for goods  $99.50 (credit) Ebay mistake posting the price in MYOB.   $224.70 (Debit) Crystal White Mop Heads ordered but they did not have the good to be delivered  $144.35 (debit Northside Cleaning Same story as Crystal White,,Clear Tracking account for goods  $99.50 (credit) Ebay mistake posting the price in MYOB.   $224.70 (Debit) Crystal White Mop Heads ordered but they did not have the good to be delivered  $144.35 (debit Northside Cleaning Same story as Crystal White
GJ,01/11/2024,EB: ATO General Interest Charge,,,,,,
GJ000397,60032,Interest Expense,£308.21,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000397,21103,ATO Running Balance A/c,,£308.21,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,01/11/2024,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W17 (WM006),,,,,,
GJ000373,13330,Plant  and Equipment,,"£3,850.00",,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W17 (WM006),,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W17 (WM006)
GJ000373,61708,Expense Inventory,"£3,850.00",,,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W17 (WM006),,Mick transferred a pendulum from our equipment to be part of the inventory as used pendulum W17 (WM006)
GJ,01/11/2024,Transfer a new pendulum to be part of our equipment WM108.,,,,,,
GJ000374,13330,Plant  and Equipment,"£6,232.00",,,Transfer a new pendulum to be part of our equipment WM108.,,Transfer a new pendulum to be part of our equipment WM108.
GJ000374,61708,Expense Inventory,,"£6,232.00",,Transfer a new pendulum to be part of our equipment WM108.,,Transfer a new pendulum to be part of our equipment WM108.
GJ,21/11/2024,EB: Oct 24 BAS,,,,,,
GJ000386,21102,GST Paid,,"£6,157.00",,EB: Oct 24 BAS,,EB: Oct 24 BAS
GJ000386,21101,GST Collected,"£17,631.00",,,EB: Oct 24 BAS,,EB: Oct 24 BAS
GJ000386,21203,PAYG Withholding Payable,"£19,707.00",,,EB: Oct 24 BAS,,EB: Oct 24 BAS
GJ000386,21103,ATO Running Balance A/c,,"£31,181.00",,EB: Oct 24 BAS,,EB: Oct 24 BAS
GJ,25/11/2024,EB: ATO General Interest Charge,,,,,,
GJ000398,60032,Interest Expense,£262.78,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000398,21103,ATO Running Balance A/c,,£262.78,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,02/12/2024,EB: ATO General Interest Charge,,,,,,
GJ000399,60032,Interest Expense,£115.97,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000399,21103,ATO Running Balance A/c,,£115.97,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,23/12/2024,EB: Nov 24 BAS,,,,,,
GJ000387,21102,GST Paid,,"£4,964.00",,EB: Nov 24 BAS,,EB: Nov 24 BAS
GJ000387,21101,GST Collected,"£19,120.00",,,EB: Nov 24 BAS,,EB: Nov 24 BAS
GJ000387,21203,PAYG Withholding Payable,"£22,247.00",,,EB: Nov 24 BAS,,EB: Nov 24 BAS
GJ000387,21103,ATO Running Balance A/c,,"£36,403.00",,EB: Nov 24 BAS,,EB: Nov 24 BAS
GJ,02/01/2025,EB: ATO General Interest Charge,,,,,,
GJ000400,60032,Interest Expense,£457.34,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000400,21103,ATO Running Balance A/c,,£457.34,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,02/01/2025,EB: Amended general interest charge,,,,,,
GJ000409,60032,Interest Expense,,£1.40,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ000409,21103,ATO Running Balance A/c,£1.40,,,EB: Amended general interest charge,,EB: Amended general interest charge
GJ,03/02/2025,EB: ATO General Interest Charge,,,,,,
GJ000401,60032,Interest Expense,£450.00,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000401,21103,ATO Running Balance A/c,,£450.00,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,21/02/2025,EB: Dec 24 BAS,,,,,,
GJ000388,21102,GST Paid,,"£5,148.00",,EB: Dec 24 BAS,,EB: Dec 24 BAS
GJ000388,21101,GST Collected,"£19,541.00",,,EB: Dec 24 BAS,,EB: Dec 24 BAS
GJ000388,21203,PAYG Withholding Payable,"£16,657.00",,,EB: Dec 24 BAS,,EB: Dec 24 BAS
GJ000388,21106,Company Income Tax Payable,"£5,032.00",,,EB: Dec 24 BAS,,EB: Dec 24 BAS
GJ000388,60029,Fringe Benefits Tax,"£2,849.00",,,EB: Dec 24 BAS,,EB: Dec 24 BAS
GJ000388,21103,ATO Running Balance A/c,,"£38,931.00",,EB: Dec 24 BAS,,EB: Dec 24 BAS
GJ,21/02/2025,EB: Jan 25 BAS,,,,,,
GJ000389,21102,GST Paid,,"£5,112.00",,EB: Jan 25 BAS,,EB: Jan 25 BAS
GJ000389,21101,GST Collected,"£16,248.00",,,EB: Jan 25 BAS,,EB: Jan 25 BAS
GJ000389,21203,PAYG Withholding Payable,"£16,817.00",,,EB: Jan 25 BAS,,EB: Jan 25 BAS
GJ000389,21103,ATO Running Balance A/c,,"£27,953.00",,EB: Jan 25 BAS,,EB: Jan 25 BAS
GJ,24/02/2025,EB: ATO General Interest Charge,,,,,,
GJ000402,60032,Interest Expense,£96.08,,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ000402,21103,ATO Running Balance A/c,,£96.08,,EB: ATO General Interest Charge,,EB: ATO General Interest Charge
GJ,24/02/2025,EB: Amended general interest charge,,,,,,
